"TEAMID";"LAPNR";"PREDICTEDSTARTTIME";"LAPTIME";"ATHLETE_ID"
"4049";"1";"2021-08-21 10:03:00";"1800";"19220"
"4049";"2";"2021-08-21 10:33:00";"1500";"19222"
"4049";"3";"2021-08-21 10:58:00";"1500";"19222"
"4049";"4";"2021-08-21 11:23:00";"1200";"19223"
"4070";"4";"2021-08-21 11:06:38";"1440";"20200"
"4058";"5";"2021-08-21 11:27:22";"1440";"20106"
"4058";"6";"2021-08-21 11:51:22";"1800";"20107"
"4030";"6";"2021-08-21 12:08:14";"1620";"19947"
"4040";"8";"2021-08-21 12:48:28";"1380";"19989"
"4052";"4";"2021-08-21 11:14:33";"1500";"20060"
"4052";"5";"2021-08-21 11:39:33";"1500";"20061"
"4058";"7";"2021-08-21 12:20:27";"1440";"20108"
"4040";"5";"2021-08-21 11:33:53";"1560";"19990"
"4033";"4";"2021-08-21 11:23:07";"1800";"19958"
"4033";"5";"2021-08-21 11:53:07";"1560";"19960"
"4033";"6";"2021-08-21 12:19:07";"1380";"19959"
"4033";"7";"2021-08-21 12:42:07";"1560";"19957"
"4033";"8";"2021-08-21 13:08:07";"1800";"19958"
"4033";"9";"2021-08-21 13:38:07";"1800";"19958"
"4070";"10";"2021-08-21 13:25:39";"1380";"20198"
"4070";"11";"2021-08-21 13:48:39";"1800";"20204"
"4070";"12";"2021-08-21 14:18:39";"1440";"20200"
"4070";"13";"2021-08-21 14:42:39";"1380";"20199"
"4070";"14";"2021-08-21 15:05:39";"1800";"20201"
"4032";"13";"2021-08-21 14:50:04";"1500";"19953"
"4032";"14";"2021-08-21 15:15:04";"1440";"19954"
"4032";"15";"2021-08-21 15:39:04";"1440";"19955"
"4058";"16";"2021-08-21 15:57:22";"1440";"20105"
"4030";"15";;;"19947"
"4030";"16";"2021-08-21 16:30:06";"1440";"19946"
"4040";"10";"2021-08-21 13:34:06";"1620";"19991"
"4030";"10";"2021-08-21 13:51:16";"1620";"19947"
"4053";"10";"2021-08-21 13:58:39";"1620";"20070"
"4053";"11";"2021-08-21 14:25:39";"1500";"20069"
"4053";"12";"2021-08-21 14:50:39";"1620";"20070"
"4030";"17";"2021-08-21 16:53:04";"1620";"19947"
"4030";"18";"2021-08-21 17:20:04";"1620";"19945"
"4030";"12";"2021-08-21 14:42:59";"1440";"19946"
"4030";"13";"2021-08-21 15:08:40";"1620";"19945"
"4040";"14";"2021-08-21 15:16:05";"1500";"19987"
"4033";"13";"2021-08-21 15:21:09";"1800";"19958"
"4053";"13";"2021-08-21 15:16:18";"1620";"20071"
"4053";"14";"2021-08-21 15:43:18";"1620";"20072"
"4053";"15";"2021-08-21 16:10:18";"1620";"20071"
"4030";"19";"2021-08-21 17:47:19";"1620";"19947"
"3997";"21";"2021-08-21 18:05:59";"1440";"18993"
"4032";"16";"2021-08-21 16:05:13";"1440";"19956"
"4039";"14";"2021-08-21 16:18:54";"1320";"19982"
"4039";"15";"2021-08-21 16:40:54";"1320";"19982"
"4032";"17";"2021-08-21 16:29:54";"1560";"19953"
"4032";"18";"2021-08-21 16:55:54";"1440";"19954"
"4032";"19";"2021-08-21 17:19:54";"1440";"19955"
"4058";"19";"2021-08-21 17:07:32";"1440";"20106"
"4053";"16";"2021-08-21 16:36:45";"1620";"20072"
"3968";"2";"2021-08-21 10:09:00";"1800";"18928"
"3968";"3";"2021-08-21 10:39:00";"1800";"18928"
"3968";"11";"2021-08-21 11:09:00";"1800";"18928"
"3968";"30";"2021-08-21 11:39:00";"1800";"18928"
"3968";"60";"2021-08-21 12:09:00";"1800";"18928"
"4053";"1";"2021-08-21 10:00:00";"1800";"20065"
"4054";"2";"2021-08-21 10:17:56";"1800";"20074"
"4054";"3";"2021-08-21 10:47:56";"1800";"20075"
"4054";"4";"2021-08-21 11:17:56";"1800";"20076"
"4054";"5";"2021-08-21 11:47:56";"1800";"20077"
"4054";"6";"2021-08-21 12:17:56";"1800";"20078"
"4054";"7";"2021-08-21 12:47:56";"1800";"20079"
"4054";"8";"2021-08-21 13:17:56";"1800";"20080"
"4054";"9";"2021-08-21 13:47:56";"1800";"20073"
"4054";"10";"2021-08-21 14:17:56";"1800";"20074"
"4054";"11";"2021-08-21 14:47:56";"1800";"20075"
"4054";"12";"2021-08-21 15:17:56";"1800";"20076"
"4054";"13";"2021-08-21 15:47:56";"1800";"20077"
"4054";"14";"2021-08-21 16:17:56";"1800";"20078"
"4034";"1";"2021-08-21 10:06:00";"900";"19961"
"4040";"2";"2021-08-21 10:20:13";"1800";"19989"
"4040";"3";"2021-08-21 10:42:47";"1500";"19987"
"4040";"4";"2021-08-21 11:07:47";"1800";"19991"
"4053";"17";"2021-08-21 17:03:45";"1620";"20065"
"4053";"18";"2021-08-21 17:30:45";"1320";"20066"
"4053";"19";"2021-08-21 17:52:45";"1620";"20065"
"4053";"20";"2021-08-21 18:19:45";"1320";"20066"
"4053";"21";"2021-08-21 18:41:45";"1620";"20067"
"4053";"22";"2021-08-21 19:08:45";"1920";"20068"
"4053";"23";"2021-08-21 19:40:45";"1620";"20067"
"4053";"24";"2021-08-21 20:07:45";"1920";"20068"
"4030";"24";;;"19946"
"4034";"29";"2021-08-21 20:46:32";"1560";"19964"
"4030";"25";"2021-08-21 20:35:09";"1620";"19945"
"4067";"30";;;"20173"
"4067";"31";"2021-08-21 20:50:32";"1320";"20173"
"4070";"3";;;"20204"
"4052";"2";"2021-08-21 10:23:44";"1620";"20060"
"4058";"3";"2021-08-21 10:38:21";"1800";"20112"
"4070";"2";;;"20198"
"4034";"3";"2021-08-21 10:45:03";"1320";"19963"
"4070";"5";"2021-08-21 11:28:09";"1380";"20199"
"4030";"5";"2021-08-21 11:43:09";"1620";"19945"
"4030";"7";"2021-08-21 12:35:36";"1620";"19948"
"4034";"6";"2021-08-21 11:52:30";"1320";"19962"
"4058";"8";"2021-08-21 12:43:02";"1500";"20105"
"4040";"7";"2021-08-21 12:25:17";"1260";"19992"
"4052";"3";"2021-08-21 10:49:25";"1500";"20059"
"4058";"9";"2021-08-21 13:08:02";"1800";"20110"
"4058";"10";"2021-08-21 13:38:02";"1800";"20111"
"4058";"11";"2021-08-21 14:08:02";"1800";"20112"
"4058";"12";"2021-08-21 14:38:02";"1440";"20109"
"4058";"13";"2021-08-21 15:02:02";"1440";"20106"
"4058";"14";"2021-08-21 15:26:02";"1800";"20107"
"4058";"15";"2021-08-21 15:56:02";"1440";"20108"
"4016";"1";"2021-08-21 10:06:00";"1200";"19890"
"4016";"2";"2021-08-21 10:26:00";"2100";"19891"
"4016";"3";"2021-08-21 11:01:00";"1800";"19892"
"4016";"4";"2021-08-21 11:31:00";"1800";"19889"
"4016";"5";"2021-08-21 12:01:00";"2100";"19891"
"4016";"6";"2021-08-21 12:36:00";"1800";"19889"
"4016";"7";"2021-08-21 13:06:00";"1200";"19890"
"4058";"1";"2021-08-21 10:00:00";"1800";"20111"
"4016";"8";"2021-08-21 13:26:00";"1800";"19892"
"4016";"9";"2021-08-21 13:56:00";"1200";"19890"
"4016";"10";"2021-08-21 14:16:00";"1800";"19889"
"4016";"11";"2021-08-21 14:46:00";"2100";"19891"
"4016";"12";"2021-08-21 15:21:00";"1200";"19890"
"4016";"13";"2021-08-21 15:41:00";"1800";"19892"
"4016";"14";"2021-08-21 16:11:00";"1800";"19892"
"4016";"15";"2021-08-21 16:41:00";"1800";"19889"
"4016";"16";"2021-08-21 17:11:00";"1800";"19892"
"4016";"17";"2021-08-21 17:41:00";"1200";"19890"
"4016";"18";"2021-08-21 18:01:00";"2100";"19891"
"4016";"19";"2021-08-21 18:36:00";"1200";"19890"
"4016";"20";"2021-08-21 18:56:00";"2100";"19891"
"4040";"1";"2021-08-21 10:03:00";"1800";"19992"
"4041";"4";"2021-08-21 11:06:41";"1500";"19994"
"4041";"5";"2021-08-21 11:31:41";"1380";"19995"
"4041";"6";"2021-08-21 11:54:41";"1500";"19996"
"4045";"30";"2021-08-21 20:58:18";"1800";"20022"
"4045";"31";"2021-08-21 21:28:18";"1200";"20017"
"4034";"9";"2021-08-21 13:22:12";"1320";"19963"
"4034";"10";"2021-08-21 13:44:12";"1440";"19964"
"4052";"7";"2021-08-21 12:31:04";"1440";"20061"
"4052";"8";"2021-08-21 12:55:04";"1560";"20062"
"4052";"9";"2021-08-21 13:21:04";"1620";"20063"
"4052";"10";"2021-08-21 13:48:04";"1620";"20064"
"4045";"32";"2021-08-21 21:48:18";"1200";"20018"
"4045";"33";"2021-08-21 22:08:18";"1800";"20019"
"4045";"34";"2021-08-21 22:38:18";"1800";"20020"
